JOB NAME,Date,OWNER,JOB CLASS,JOB ID,STEPS IN JCL,UTILITY/STEP NAME,COND CODES,RUN STATUS,REASON FOR ABEND,MORE ABEND INFO,SYSTEM LIBRERIES,STARTED_TIME,ENDED_TIME,STEP AND DBRM LIBS,JOB INFO
 MINDT01C,4/12/2020, MINDT01,A,JOB04330  ,         2 //STEP1 EXEC PGM=SOC7                            --> MEMBER NAME, SOC7                            --> MEMBER NAME,7,['S0C7'],"[' CEE3207S The system detected a data exception (System Completion Code=0C7).', '         CEE3207S The system detected a data exception (System Completion Code=0', ' ']",['                9  02 NUM2             S999 CMP3        *** Invalid data for thi'],"MINDT01.BINDU.NEW.PS1,MINDT01.BINDU.NEW.INPUT,MINDT01.BINDU.NEW.OUTREC,", 03.46.41, 03.46.41,"['DD DSN=IBMUSER.LOAD.LIB', 'NAME', '']","['         CPU:     0 HR  00 MIN  00.05 SEC    SRB:     0 HR  00 MIN  00.00 SEC', ' CEE3207S The system detected a data exception (System Completion Code=0C7).', '          From compile unit SOC7 at entry point SOC7 at statement 17 at compile', '     Condition processing resulted in the unhandled condition.', ' ASID: 001C   Job ID: JOB04330   Job name: MINDT01C   Step name: STEP1      User', '', '      Local Variables:', '                6 01 REC              AN-GR', '                7  02 NUM              999 DISP         000', '                8  02 NUM1             999 DISP         123', '                9  02 NUM2             S999 CMP3        *** Invalid data for thi', '               11 01 REC1             AN-GR', '               12  02 WS-NUM           999 DISP         000', '               13  02 WS-NUM1          999 DISP         123', ""               14  02 WS-NUM2          XXX DISP         'ABC'"", '', '   Run-Time Options Report:', '', '     default             XUFLOW(AUTO)', '', ' CEE3846I CEEDUMP Processing completed.', '']"
 MINDT01C,5/12/2020, MINDT01,A,JOB09074  ,         2 //STEP1    EXEC PGM=IEBGENER, IEBGENER,4,['SD37'],"['  02.14.15 JOB09074  IEC031I D37-04,IFG0554P,MINDT01C,STEP1,SYSUT2,50A8,USER03,    499             MINDT01.BINDU.NEW.PS5 IEC031I D37-04,IFG0554P,MINDT01C,STEP1,SYSUT2,50A8,USER03, MINDT01.BINDU.NEW.PS5']",No More info,"MINDT01.BINDU.NEW.PS1,MINDT01.BINDU.NEW.PS5,UNCATALOGED,", 02.14.15, 02.14.15,No system Libraries,"['         CPU:     0 HR  00 MIN  00.03 SEC    SRB:     0 HR  00 MIN  00.00 SEC', '1DATA SET UTILITY - GENERATE', '-', '']"
 MINDT01C,6/23/2020, MINDT01,A,JOB09083  ,         2 //STEP1 EXEC PGM=HIGHLOW                         --> MEMBER NAME, HIGHLOW                         --> MEMBER NAME,4,['S806'],"[' 02.41.23 JOB09083  CSV003I REQUESTED MODULE HIGHLOW  NOT FOUND', ' CSV003I REQUESTED MODULE HIGHLOW  NOT FOUND', ' ']",No More info,"MINDT01.BINDU.KSDS1,RETAINED,,", 02.41.23, 02.41.23,['NAME'],"['         CPU:     0 HR  00 MIN  00.02 SEC    SRB:     0 HR  00 MIN  00.00 SEC', '']"
 MINDT01C,7/2/2020, MINDT01,A,JOB09079  ,         2 //STEP1    EXEC PGM=IEBGENER, IEBGENER,12,RUN SUCCESSFULL,"['-IEB311I CONFLICTING DCB PARAMETERS', ' ']",No More info,"MINDT01.BINDU.NEW.PS1,", 02.24.51, 02.24.52,No system Libraries,"['         CPU:     0 HR  00 MIN  00.01 SEC    SRB:     0 HR  00 MIN  00.00 SEC', '1DATA SET UTILITY - GENERATE', '-IEB311I CONFLICTING DCB PARAMETERS', '']"
 MINDT01C,8/19/2020, MINDT01,A,JOB04330  ,         2 //STEP1 EXEC PGM=SOC7                            --> MEMBER NAME, SOC7                            --> MEMBER NAME,7,['S0C7'],"[' CEE3207S The system detected a data exception (System Completion Code=0C7).', '         CEE3207S The system detected a data exception (System Completion Code=0', ' ']",['                9  02 NUM2             S999 CMP3        *** Invalid data for thi'],"MINDT01.BINDU.NEW.PS1,MINDT01.BINDU.NEW.INPUT,MINDT01.BINDU.NEW.OUTREC,", 03.46.41, 03.46.41,"['DD DSN=IBMUSER.LOAD.LIB', 'NAME', '']","['         CPU:     0 HR  00 MIN  00.05 SEC    SRB:     0 HR  00 MIN  00.00 SEC', ' CEE3207S The system detected a data exception (System Completion Code=0C7).', '          From compile unit SOC7 at entry point SOC7 at statement 17 at compile', '  Condition processing resulted in the unhandled condition.',       Local Variables:', '                6 01 REC              AN-GR', '                7  02 NUM              999 DISP         000', '                8  02 NUM1             999 DISP         123', '                9  02 NUM2             S999 CMP3        *** Invalid data for thi', '               11 01 REC1             AN-GR', '               12  02 WS-NUM           999 DISP         000', '               13  02 WS-NUM1          999 DISP         123', ""               14  02 WS-NUM2          XXX DISP         'ABC'"", '', '   Run-Time Options Report:', '', '    LAST WHERE SET                 OPTION', '    ----------------------------------------------------------------------------', '    IBM-supplied default             ABPERC(NONE)', '    ' CEE3846I CEEDUMP Processing completed.', '']"
 MINDT0DA,9/16/2020, MINDT01,A,JOB01102  ,"         5 //PH02CS04 EXEC PGM=IKJEFT01,DYNAMNBR=20,COND=(4,LT)", IKJEFT01,12,RUN SUCCESSFULL,"[' DSNE110E ERR1 NOT VALID SUBSYSTEM ID, COMMAND TERMINATED', ' ']",No More info,, 00.41.18, 00.41.18,No system Libraries,"['         CPU:     0 HR  00 MIN  00.06 SEC    SRB:     0 HR  00 MIN  00.00 SEC', '1READY', '   DSN SYSTEM(ERR1)', ' DSNE110E ERR1 NOT VALID SUBSYSTEM ID, COMMAND TERMINATED', ' READY', ""   RUN PROGRAM(INSRTREC) PLAN(INSRTREC) LIB('IBMUSER.LOAD.LIB')"", ' IKJ56712I INVALID KEYWORD, PLAN(INSRTREC)', ' READY', '   END', ' READY', ' END', '']"
 MINDT01Z,1/26/2020, MINDT01,A,JOB00308  ,         2 //STEP1    EXEC PGM=ICEMAN, ICEMAN,14,['S822'],"[' 09.29.19 JOB00308  IEF085I REGION UNAVAILABLE, ERROR CODE=20', ' IEF085I REGION UNAVAILABLE, ERROR CODE=20', ' ']",No More info,"MINDT01.DIVYA.PDATA,MINDT01.DIVYA.CONCSVF,UNCATALOGED,", 09.29.19, 09.29.19,"[' DD   DSN=&LIB', ' DD  DISP=SHR']","['         CPU:     0 HR  00 MIN  00.00 SEC    SRB:     0 HR  00 MIN  00.00 SEC', '']"
,,,,,         7 //STEP2    EXEC PGM=IDCAMS,IDCAMS,,,,,,,,,
,,,,,        11 //STEP3    EXEC PGM=ICETOOL,ICETOOL,,,,,,,,,
,,,,,        18 //STEP4    EXEC PGM=SORT,SORT,,,,,,,,,
,,,,,"        26 XXDSNUPROC EXEC PGM=DSNUTILB,REGION=&SIZE,",DSNUTILB,,,,,,,,,
,,,,,"        37 //PH02CS04 EXEC PGM=IKJEFT01,DYNAMNBR=20,COND=(4,LT)",IKJEFT01,,,,,,,,,
